조회기간 : 2019-12-01 00:00:00 ~ 2020-11-30 23:59:59,,,,,,,
조회선박 척수 : 1,,,,,,,
MMSI,일시,위도,경도,SOG,COG,Heading,항차번호
440002530,2020-02-07 14:53,37.49244667,126.6119567,13.1,80.7,511,1
440002530,2020-02-07 14:53,37.49255833,126.6127167,13.2,80.5,511,1
440002530,2020-02-07 14:53,37.492665,126.6134,13.1,79.7,511,1
440002530,2020-02-07 14:53,37.49298,126.6156367,13.1,81.2,511,1
440002530,2020-02-07 14:54,37.49306167,126.6164733,13.1,84.1,511,1
440002530,2020-02-07 14:54,37.493125,126.6172333,13.1,84.1,511,1
440002530,2020-02-07 14:54,37.49319167,126.61791,13.2,82.7,511,1
440002530,2020-02-07 14:54,37.493275,126.618665,13,79.9,511,1
440002530,2020-02-07 14:55,37.49370833,126.6209267,12.8,75.1,511,1
440002530,2020-02-07 14:55,37.49382833,126.6216567,12.9,80.3,511,1
440002530,2020-02-07 14:55,37.49390833,126.6223133,12.9,82.9,511,1
440002530,2020-02-07 14:55,37.494,126.6231333,13,83.5,511,1
440002530,2020-02-07 14:55,37.494115,126.6245767,13.1,83.1,511,1
440002530,2020-02-07 14:56,37.49419333,126.62542,13.2,81.9,511,1
440002530,2020-02-07 14:56,37.49428167,126.6261717,12.6,81.6,511,1
440002530,2020-02-07 14:56,37.49437,126.62681,12.2,75.7,511,1
440002530,2020-02-07 14:56,37.49456333,126.6275467,12.3,70.9,511,1
440002530,2020-02-07 14:56,37.49473,126.628165,12.4,72.4,511,1
440002530,2020-02-07 14:56,37.49491167,126.628845,12,71.3,511,1
440002530,2020-02-07 14:57,37.49508167,126.6295667,11.3,76.5,511,1
440002530,2020-02-07 14:57,37.49519,126.6301567,9,61.6,511,1
440002530,2020-02-07 14:57,37.49550167,126.630405,8.9,12.4,511,1
440002530,2020-02-07 14:57,37.49587833,126.6302333,8.8,311.8,511,1
440002530,2020-02-07 14:57,37.496,126.6296867,10,272.3,511,1
440002530,2020-02-07 14:57,37.49601833,126.6290683,10.9,276.3,511,1
440002530,2020-02-07 14:58,37.49604167,126.6283667,10.8,265.6,511,1
440002530,2020-02-07 14:58,37.49598333,126.6277233,11.2,262.5,511,1
440002530,2020-02-07 14:58,37.49595833,126.6264633,11.4,269.1,511,1
440002530,2020-02-07 14:58,37.49592833,126.625805,11.5,262.5,511,1
440002530,2020-02-07 14:58,37.49587167,126.6251417,11.4,263.2,511,1
440002530,2020-02-07 14:59,37.49581833,126.6244117,11.4,266.2,511,1
440002530,2020-02-07 14:59,37.49575333,126.6223767,11.5,262.3,511,1
440002530,2020-02-07 14:59,37.49570333,126.6217633,11.6,264.5,511,1
440002530,2020-02-07 15:00,37.49527167,126.618385,12.2,262.2,511,1
440002530,2020-02-07 15:00,37.49512333,126.61698,12.5,264.6,511,1
440002530,2020-02-07 15:01,37.494975,126.6154033,12.9,261.4,511,1
440002530,2020-02-07 15:01,37.49482667,126.6139817,13,262.7,511,1
440002530,2020-02-07 15:01,37.49468833,126.6124817,12.7,263.5,511,1
440002530,2020-02-07 15:02,37.49463167,126.61093,12.2,268.6,511,1
440002530,2020-02-07 15:02,37.49466,126.6095567,12.3,274,511,1
440002530,2020-02-07 15:03,37.49504667,126.606645,12.5,282.2,511,1
440002530,2020-02-07 15:03,37.49513833,126.6060217,12.4,283.2,511,1
440002530,2020-02-07 15:03,37.49540333,126.6045033,12.9,280,511,1
440002530,2020-02-07 15:03,37.49547833,126.6038283,12.9,275.9,511,1
440002530,2020-02-07 15:04,37.49524,126.60232,12.5,239.6,511,1
440002530,2020-02-07 15:04,37.49493833,126.601775,12.8,230.5,511,1
440002530,2020-02-07 15:04,37.49452167,126.60115,12.6,228.9,511,1
440002530,2020-02-07 15:04,37.49413833,126.6005717,12.6,229.8,511,1
440002530,2020-02-07 15:04,37.49380667,126.6000617,12.7,232.7,511,1
440002530,2020-02-07 15:05,37.49310833,126.5987967,12.2,238.5,511,1
440002530,2020-02-07 15:05,37.49284333,126.5982517,12,239.6,511,1
440002530,2020-02-07 15:05,37.49253,126.5975783,11.6,238.7,511,1
440002530,2020-02-07 15:05,37.49222833,126.5970117,12,233.1,511,1
440002530,2020-02-07 15:05,37.49193833,126.5965117,11.5,233.9,511,1
440002530,2020-02-07 15:06,37.49159833,126.5959183,11.4,235.1,511,1
440002530,2020-02-07 15:06,37.49126833,126.5953667,11.9,233.2,511,1
440002530,2020-02-07 15:06,37.49096667,126.5948733,11.5,229,511,1
440002530,2020-02-07 15:06,37.49050333,126.5944667,11.1,203.5,511,1
440002530,2020-02-07 15:06,37.48999,126.5942783,11.7,190.1,511,1
440002530,2020-02-07 15:06,37.48950333,126.5942067,11.8,185,511,1
440002530,2020-02-07 15:07,37.4889,126.5941317,11.6,186.1,511,1
440002530,2020-02-07 15:07,37.48835167,126.5940317,12,190.5,511,1
440002530,2020-02-07 15:07,37.48786333,126.5939067,11.6,192.7,511,1
440002530,2020-02-07 15:07,37.48729,126.593745,11.5,195.5,511,1
440002530,2020-02-07 15:07,37.48676667,126.59353,12.2,197.5,511,1
440002530,2020-02-07 15:07,37.48624333,126.59331,11.4,197.9,511,1
440002530,2020-02-07 15:08,37.48574167,126.59311,11.2,197.3,511,1
440002530,2020-02-07 15:08,37.48525667,126.5928867,11.4,201.3,511,1
440002530,2020-02-07 15:08,37.48481,126.5926517,11.6,201.2,511,1
440002530,2020-02-07 15:08,37.48427667,126.5923683,11.3,203.6,511,1
440002530,2020-02-07 15:08,37.48330667,126.5918267,11.5,202.4,511,1
440002530,2020-02-07 15:09,37.48231667,126.5912983,11.8,199.8,511,1
440002530,2020-02-07 15:09,37.48184167,126.59113,11.8,195.1,511,1
440002530,2020-02-07 15:09,37.48022167,126.5905967,11.9,194,511,1
440002530,2020-02-07 15:10,37.479165,126.5901933,11.5,197.2,511,1
