조회기간 : 2019-12-01 00:00:00 ~ 2020-11-30 23:59:59
조회선박 척수 : 1
MMSI,일시,위도,경도,SOG,COG,Heading,항차번호
440400650,2019-12-04 13:56:03,36.04505,129.372133333333,6.4,6.2,511,1
440400650,2019-12-04 13:56:13,36.0453166666667,129.372166666667,6.5,7.4,511,1
440400650,2019-12-04 13:56:23,36.0456166666667,129.372233333333,6.5,10.3,511,1
440400650,2019-12-04 13:58:06,36.0486333333333,129.373133333333,6.5,15.8,511,1
440400650,2019-12-04 13:58:16,36.04895,129.37325,6.4,16.8,511,1
440400650,2019-12-04 13:58:45,36.0498,129.373616666667,6.5,28.3,511,1
440400650,2019-12-04 13:58:55,36.0500666666667,129.373866666667,6.3,37.7,511,1
440400650,2019-12-04 14:00:26,36.0502333333333,129.37745,8.4,90.4,511,1
440400650,2019-12-04 14:00:45,36.0502166666667,129.378416666667,8.4,90.7,511,1
440400650,2019-12-04 14:01:05,36.0503166666667,129.3793,7.4,77.6,511,1
440400650,2019-12-04 14:02:28,36.0504666666667,129.380016666667,0.9,248.4,511,1
440400650,2019-12-04 14:03:00,36.0501666666667,129.38015,4.8,167.3,511,1
440400650,2019-12-04 14:03:10,36.0499333333333,129.38015,5.3,184.4,511,1
440400650,2019-12-04 14:03:29,36.0494166666667,129.380116666667,6,177.4,511,1
440400650,2019-12-04 14:04:10,36.0480666666667,129.380933333333,9.3,143.6,511,1
440400650,2019-12-04 14:04:28,36.0474333333333,129.381516666667,10.1,143.6,511,1
440400650,2019-12-04 14:04:38,36.047,129.381883333333,10.1,145.3,511,1
440400650,2019-12-04 14:05:00,36.04615,129.382566666667,10.9,147.1,511,1
440400650,2019-12-04 14:05:10,36.0457333333333,129.38295,11.4,139,511,1
440400650,2019-12-04 14:05:28,36.04515,129.383883333333,11.4,118.1,511,1
440400650,2019-12-04 14:05:50,36.0448666666667,129.385266666667,12.3,93.5,511,1
440400650,2019-12-04 14:06:01,36.0448333333333,129.38605,12.7,93.7,511,1
440400650,2019-12-04 14:06:10,36.0447833333333,129.386783333333,12.6,95.2,511,1
440400650,2019-12-04 14:06:20,36.0447166666667,129.387533333333,13.6,96.5,511,1
440400650,2019-12-04 14:06:29,36.04465,129.388233333333,13.4,97.2,511,1
440400650,2019-12-04 14:06:38,36.0445666666667,129.388916666667,13.4,98.7,511,1
440400650,2019-12-04 14:06:50,36.0444333333333,129.389866666667,14.6,99.5,511,1
440400650,2019-12-04 14:07:01,36.0443333333333,129.3906,14.4,101.6,511,1
440400650,2019-12-04 14:07:08,36.0442,129.391333333333,14.4,101.8,511,1
440400650,2019-12-04 14:07:14,36.0441166666667,129.391833333333,14.9,103,511,1
440400650,2019-12-04 14:07:20,36.0440166666667,129.392333333333,15.1,104.2,511,1
440400650,2019-12-04 14:07:28,36.04385,129.393083333333,15.1,105.5,511,1
440400650,2019-12-04 14:07:32,36.0437833333333,129.393416666667,15.2,105.4,511,1
440400650,2019-12-04 14:07:38,36.04365,129.393916666667,15.1,106.5,511,1
440400650,2019-12-04 14:07:39,36.0436333333333,129.394,15.1,107.5,511,1
440400650,2019-12-04 14:07:50,36.0434833333333,129.394833333333,15,98.8,511,1
440400650,2019-12-04 14:08:14,36.0433,129.396916666667,15.2,94.6,511,1
440400650,2019-12-04 14:08:26,36.0432333333333,129.397966666667,15.3,95.2,511,1
440400650,2019-12-04 14:08:32,36.0432,129.3985,15.3,95.6,511,1
440400650,2019-12-04 14:08:38,36.04315,129.399033333333,15.3,96.4,511,1
440400650,2019-12-04 14:08:56,36.0429666666667,129.400683333333,15.4,98.4,511,1
440400650,2019-12-04 14:09:14,36.0427666666667,129.402166666667,15.6,101.7,511,1
440400650,2019-12-04 14:09:20,36.0426666666667,129.4027,15.7,104.8,511,1
440400650,2019-12-04 14:09:32,36.0423666666667,129.4038,15.6,109.6,511,1
440400650,2019-12-04 14:09:38,36.0422166666667,129.404316666667,15.7,111.4,511,1
440400650,2019-12-04 14:09:44,36.0420833333333,129.404733333333,15.7,112.2,511,1
440400650,2019-12-04 14:09:50,36.0419166666667,129.405233333333,15.6,113.2,511,1
440400650,2019-12-04 14:09:56,36.04175,129.405716666667,15.7,112,511,1
440400650,2019-12-04 14:10:02,36.04155,129.4063,15.8,113.2,511,1
440400650,2019-12-04 14:10:08,36.0414166666667,129.406633333333,15.8,114.1,511,1
440400650,2019-12-04 14:10:14,36.0412,129.407183333333,15,116.6,511,1
440400650,2019-12-04 14:10:19,36.04105,129.407566666667,11.9,117.7,511,1
440400650,2019-12-04 14:10:26,36.0408833333333,129.407933333333,12,116.3,511,1
440400650,2019-12-04 14:10:32,36.0407333333333,129.40835,11.3,112.1,511,1
440400650,2019-12-04 14:10:38,36.04065,129.40865,11,107.6,511,1
440400650,2019-12-04 14:10:44,36.0405666666667,129.40905,9.8,105.2,511,1
440400650,2019-12-04 14:10:50,36.0405166666667,129.409333333333,7.9,102,511,1
440400650,2019-12-04 14:10:56,36.0404833333333,129.40955,7.5,99.5,511,1
440400650,2019-12-04 14:11:02,36.0404333333333,129.409833333333,7,99.5,511,1
440400650,2019-12-04 14:11:19,36.04035,129.410466666667,6.2,95.7,511,1
440400650,2019-12-04 14:11:26,36.04035,129.410733333333,6.8,81.7,511,1
440400650,2019-12-04 14:11:38,36.0405333333333,129.41125,10.2,62.6,511,1
440400650,2019-12-04 14:11:44,36.0406833333333,129.4116,11.3,61.6,511,1
440400650,2019-12-04 14:11:56,36.0410166666667,129.412333333333,11.3,59.1,511,1
440400650,2019-12-04 14:12:02,36.04115,129.4126,11,58,511,1
440400650,2019-12-04 14:12:08,36.0413166666667,129.412883333333,7.8,52.2,511,1
440400650,2019-12-04 14:12:14,36.0414,129.413,6.4,46.9,511,1
440400650,2019-12-04 14:12:19,36.0415166666667,129.413133333333,5.1,40,511,1
440400650,2019-12-04 14:12:32,36.04175,129.413316666667,4,27,511,1
440400650,2019-12-04 14:12:38,36.0418333333333,129.413366666667,3,25.9,511,1
440400650,2019-12-04 14:12:44,36.0419333333333,129.4134,4,13.2,511,1
440400650,2019-12-04 14:12:56,36.0422166666667,129.4134,5.2,6.8,511,1
440400650,2019-12-04 14:13:02,36.04235,129.413416666667,5.6,11,511,1
440400650,2019-12-04 14:13:07,36.0425,129.413433333333,5.8,16.7,511,1
440400650,2019-12-04 14:13:13,36.0426333333333,129.413466666667,6.2,9.9,511,1
440400650,2019-12-04 14:13:26,36.04315,129.41375,9.7,30.8,511,1
440400650,2019-12-04 14:13:30,36.0432666666667,129.41385,9.5,37.6,511,1
440400650,2019-12-04 14:13:32,36.0433666666667,129.413966666667,9.8,40.5,511,1
440400650,2019-12-04 14:13:38,36.0435666666667,129.4142,10,45.5,511,1
440400650,2019-12-04 14:13:44,36.0437,129.414416666667,9.8,53.9,511,1
440400650,2019-12-04 14:13:56,36.04405,129.415,11.1,56.6,511,1
440400650,2019-12-04 14:14:00,36.0441666666667,129.415233333333,12.3,56.1,511,1
440400650,2019-12-04 14:14:07,36.0444333333333,129.415733333333,12.9,56.7,511,1
440400650,2019-12-04 14:14:10,36.0445,129.41585,13,57.9,511,1
440400650,2019-12-04 14:14:13,36.0446166666667,129.416116666667,12.9,59.2,511,1
440400650,2019-12-04 14:14:30,36.0451833333333,129.417316666667,14.5,59.3,511,1
440400650,2019-12-04 14:14:42,36.0456166666667,129.4183,16.7,62.3,511,1
440400650,2019-12-04 14:14:48,36.0458333333333,129.41885,18.1,64.9,511,1
440400650,2019-12-04 14:14:54,36.0460166666667,129.419316666667,18.4,65.5,511,1
440400650,2019-12-04 14:15:00,36.04625,129.420016666667,18.5,67.3,511,1
440400650,2019-12-04 14:15:06,36.0464333333333,129.4206,18.5,69.2,511,1
440400650,2019-12-04 14:15:10,36.0465166666667,129.4209,18.4,71.5,511,1
440400650,2019-12-04 14:15:12,36.0466,129.4212,18.2,71.1,511,1
440400650,2019-12-04 14:15:18,36.0467333333333,129.421683333333,18.1,72.1,511,1
440400650,2019-12-04 14:15:24,36.0468666666667,129.422266666667,17.4,75.2,511,1
440400650,2019-12-04 14:15:30,36.047,129.422933333333,16.5,75.5,511,1
440400650,2019-12-04 14:15:36,36.0471166666667,129.423483333333,16.4,74.9,511,1
440400650,2019-12-04 14:15:42,36.04725,129.424016666667,16.4,73.1,511,1
440400650,2019-12-04 14:15:48,36.0473833333333,129.42455,16.3,70,511,1
440400650,2019-12-04 14:15:54,36.04755,129.425066666667,16.3,67.8,511,1
