조회기간 : 2019-12-01 00:00:00 ~ 2020-11-30 23:59:59,,,,,,,
조회선박 척수 : 1,,,,,,,
MMSI,일시,위도,경도,SOG,COG,Heading,항차번호
440108620,2019-12-02 10:07,35.109555,129.0513833,12.2,224.8,511,1
440108620,2019-12-02 10:27,35.08475333,129.0851117,13.3,159.9,511,1
440108620,2019-12-02 10:31,35.08155333,129.10098,19.1,76.9,511,1
440108620,2019-12-02 10:32,35.083505,129.10392,18,12.5,511,1
440108620,2019-12-02 10:33,35.08774833,129.0989583,19.1,312.6,511,1
440108620,2019-12-02 10:33,35.088485,129.0980317,19,314.6,511,1
440108620,2019-12-02 10:34,35.09271167,129.0943583,18.9,338.6,511,1
440108620,2019-12-02 10:35,35.09734167,129.092775,10.9,354.4,511,1
440108620,2019-12-02 10:39,35.10633333,129.093145,5.7,3.4,511,1
440108620,2019-12-02 10:40,35.10708667,129.09251,5.2,292.7,511,1
440108620,2019-12-02 10:41,35.107525,129.0911317,1.6,178.2,511,1
440108620,2019-12-02 10:42,35.10680667,129.09075,7,170.9,511,1
440108620,2019-12-02 10:44,35.10262833,129.0896783,8.1,259.1,511,1
440108620,2019-12-02 10:45,35.10239833,129.085915,8.5,263.7,511,1
440108620,2019-12-02 10:46,35.10237,129.084905,8.5,267.9,511,1
440108620,2019-12-02 10:46,35.10235667,129.0840267,8.2,270.7,511,1
440108620,2019-12-02 10:47,35.10250167,129.081215,8.4,273.3,511,1
440108620,2019-12-02 10:48,35.102515,129.0783817,8.2,269.8,511,1
440108620,2019-12-02 10:50,35.10376667,129.07294,8.3,294.8,511,1
440108620,2019-12-02 10:50,35.10407167,129.0720433,7.9,290.8,511,1
440108620,2019-12-02 10:51,35.10440167,129.0712617,8.2,299.9,511,1
440108620,2019-12-02 10:52,35.10552833,129.0688317,7.9,294.1,511,1
440108620,2019-12-02 10:52,35.10599833,129.067845,11.2,305.3,511,1
440108620,2019-12-02 10:52,35.10680333,129.0668983,8.7,304.3,511,1
440108620,2019-12-02 10:54,35.11296667,129.0667267,13.2,43.5,511,1
440108620,2019-12-02 10:55,35.11516333,129.0693683,9.3,31.8,511,1
440108620,2019-12-02 10:59,35.12294833,129.0649567,7.6,358.2,511,1
440108620,2019-12-02 11:05,35.11969667,129.05239,5.9,317.2,511,1
440108620,2019-12-02 16:35,35.12267167,129.0546133,5.5,226.1,511,1
440108620,2019-12-02 16:40,35.11369167,129.0546267,11.1,215.3,511,1
440108620,2019-12-02 16:43,35.106785,129.0492433,11.1,212,511,1
440108620,2019-12-02 17:09,35.055535,129.0403867,12.2,133.7,511,1
440108620,2019-12-02 17:59,35.10228667,129.048815,10.7,59.7,511,1
440108620,2019-12-02 18:03,35.105875,129.0623567,11,112.3,511,1
440108620,2019-12-02 18:05,35.10268,129.068655,11.2,123,511,1
440108620,2019-12-02 18:07,35.09990333,129.0734,6.4,128.7,511,1
440108620,2019-12-02 18:14,35.09310167,129.09055,11.1,44.8,511,1
440108620,2019-12-02 18:25,35.10665,129.06565,10.7,320.7,511,1
