조회기간 : 2019-12-01 00:00:00 ~ 2020-11-30 23:59:59
조회선박 척수 : 1
MMSI,일시,위도,경도,SOG,COG,Heading,항차번호
440503900,2019-12-04 10:14:27,35.97815,126.618466666667,9.1,317.3,511,1
440503900,2019-12-04 10:15:44,35.9805666666667,126.615666666667,9.7,309.8,511,1
440503900,2019-12-04 10:15:54,35.9808833333333,126.615233333333,9.7,311.7,511,1
440503900,2019-12-04 10:16:05,35.9812,126.614783333333,10.2,309.5,511,1
440503900,2019-12-04 10:16:14,35.9814666666667,126.614366666667,10.4,307.2,511,1
440503900,2019-12-04 10:16:23,35.9817166666667,126.613933333333,10.5,304.8,511,1
440503900,2019-12-04 10:16:34,35.982,126.613416666667,10.4,301.7,511,1
440503900,2019-12-04 10:17:53,35.9831333333333,126.60895,11.4,272.2,511,1
440503900,2019-12-04 10:18:12,35.98315,126.60765,11.9,268.7,511,1
440503900,2019-12-04 10:18:22,35.9831666666667,126.606933333333,11.7,271.7,511,1
440503900,2019-12-04 10:18:33,35.9831666666667,126.606233333333,12,269.4,511,1
440503900,2019-12-04 10:18:42,35.9831666666667,126.6056,12.1,268.1,511,1
440503900,2019-12-04 10:20:04,35.9828833333333,126.599466666667,13.5,265.1,511,1
440503900,2019-12-04 10:20:13,35.98285,126.598866666667,13.2,264.5,511,1
440503900,2019-12-04 10:20:24,35.9827666666667,126.598066666667,13.4,260.5,511,1
440503900,2019-12-04 10:21:39,35.9823333333333,126.591816666667,14.5,267.2,511,1
440503900,2019-12-04 10:21:45,35.9823166666667,126.591316666667,14.5,267.7,511,1
440503900,2019-12-04 10:21:51,35.9823166666667,126.590866666667,14.4,268,511,1
440503900,2019-12-04 10:21:57,35.9822833333333,126.5903,14.4,268.1,511,1
440503900,2019-12-04 10:22:04,35.9822666666667,126.589716666667,14.5,267.8,511,1
440503900,2019-12-04 10:22:09,35.98225,126.589433333333,14.6,266.8,511,1
440503900,2019-12-04 10:22:16,35.9822166666667,126.588783333333,14.2,266.6,511,1
440503900,2019-12-04 10:22:22,35.9822,126.588283333333,14.3,265.9,511,1
440503900,2019-12-04 10:22:28,35.9821666666667,126.587833333333,14.5,265.6,511,1
440503900,2019-12-04 10:22:33,35.9821333333333,126.587333333333,14.4,263.8,511,1
440503900,2019-12-04 10:23:45,35.9813166666667,126.581633333333,14.4,256.7,511,1
440503900,2019-12-04 10:23:50,35.9812333333333,126.58115,14.3,258.3,511,1
440503900,2019-12-04 10:23:57,35.98115,126.5807,14.4,257.1,511,1
440503900,2019-12-04 10:24:02,35.9810833333333,126.580216666667,14.4,260.7,511,1
440503900,2019-12-04 10:24:09,35.981,126.57965,14.5,259.5,511,1
440503900,2019-12-04 10:24:14,35.9809333333333,126.5792,14.5,260.9,511,1
440503900,2019-12-04 10:24:21,35.9808666666667,126.578633333333,14.4,260.8,511,1
440503900,2019-12-04 10:24:27,35.9807833333333,126.57815,14.4,257.5,511,1
440503900,2019-12-04 10:24:32,35.9807,126.5777,14.3,257,511,1
440503900,2019-12-04 10:24:38,35.9806333333333,126.577216666667,14.5,261.9,511,1
440503900,2019-12-04 10:25:48,35.9798833333333,126.571683333333,14.5,262.8,511,1
440503900,2019-12-04 10:25:54,35.9798333333333,126.5711,14.6,264.1,511,1
440503900,2019-12-04 10:26:06,35.9797166666667,126.570116666667,14.4,259.7,511,1
440503900,2019-12-04 10:26:12,35.9796333333333,126.5696,14.2,258,511,1
440503900,2019-12-04 10:26:19,35.97955,126.569116666667,14.3,256.3,511,1
440503900,2019-12-04 10:26:24,35.9794666666667,126.568666666667,14.3,257.6,511,1
440503900,2019-12-04 10:26:30,35.9793833333333,126.568183333333,14.5,255.9,511,1
440503900,2019-12-04 10:26:36,35.9792833333333,126.56775,14.3,256.8,511,1
440503900,2019-12-04 10:26:43,35.9791666666667,126.567066666667,14.4,258.2,511,1
440503900,2019-12-04 10:26:48,35.9791333333333,126.566833333333,14.2,258.1,511,1
440503900,2019-12-04 10:27:59,35.9783166666667,126.560916666667,14.8,261.6,511,1
440503900,2019-12-04 10:28:05,35.97825,126.56045,14.9,261.7,511,1
